series,imdb_id
buffy,tt0118276
star trek,tt0060028
star trek tng,tt0092455
deep space 9,tt0106145
voyager,tt0112178
dr who (old),tt0056751
the wire,tt0306414
dr who (new),tt0436992
mad men,tt0804503
game of thrones,tt0944947
breaking bad,tt0903747
the sopranos,tt0141842
true blood,tt0844441
battlestar galactica,tt0407362
house of cards,tt1856010
homeland,tt1796960
the west wing,tt0200276
seinfeld,tt0098904
the x files,tt0106179
twin peaks,tt0098936
girls,tt1723816
downton abbey,tt1606375
sex in the city,tt0159206
friends,tt0108778
futurama,tt0149460
the simpsons,tt0096697
southpark,tt0121955
the mighty boosh,tt0416394
league of gentlemen,tt0184135
