#,Episode,UserRating,UserVotes,
1.1 ,33,8.2,1,377,
1.2 ,Water,7.5,1,015,
1.3 ,Bastille Day,7.3,985,
1.4 ,Act of Contrition,7.5,961,
1.5 ,You Can't Go Home Again,7.8,962,
1.6 ,Litmus,7.3,904,
1.7 ,Six Degrees of Separation,7.4,904,
1.8 ,Flesh and Bone,7.7,908,
1.9 ,Tigh Me Up, Tigh Me Down,7.2,896,
1.10 ,The Hand of God,8.0,901,
1.11 ,Colonial Day,7.2,855,
1.12 ,Kobol's Last Gleaming: Part 1,7.9,876,
1.13 ,Kobol's Last Gleaming: Part 2,8.3,936,
2.1 ,Scattered,7.7,850,
2.2 ,Valley of Darkness,7.5,834,
2.3 ,Fragged,7.5,796,
2.4 ,Resistance,7.6,804,
2.5 ,The Farm,7.3,798,
2.6 ,Home: Part 1,7.5,800,
2.7 ,Home: Part 2,7.8,814,
2.8 ,Final Cut,7.2,848,
2.9 ,Flight of the Phoenix,7.7,808,
2.10 ,Pegasus,8.5,1,048,
2.11 ,Resurrection Ship: Part 1,8.2,902,
2.12 ,Resurrection Ship: Part 2,8.3,956,
2.13 ,Epiphanies,7.0,781,
2.14 ,Black Market,6.0,923,
2.15 ,Scar,6.9,873,
2.16 ,Sacrifice,6.6,815,
2.17 ,The Captain's Hand,7.2,801,
2.18 ,Downloaded,8.0,903,
2.19 ,Lay Down Your Burdens: Part 1,7.6,793,
2.20 ,Lay Down Your Burdens: Part 2,8.2,958,
3.1 ,Occupation,7.8,1,078,
3.2 ,Precipice,7.8,913,
3.3 ,Exodus: Part 1,7.9,879,
3.4 ,Exodus: Part 2,8.9,1,281,
3.5 ,Collaborators,7.7,828,
3.6 ,Torn,7.5,813,
3.7 ,A Measure of Salvation,7.3,789,
3.8 ,Hero,7.0,798,
3.9 ,Unfinished Business,7.3,1,093,
3.10 ,The Passage,7.2,809,
3.11 ,The Eye of Jupiter,7.8,793,
3.12 ,Rapture,7.9,795,
3.13 ,Taking a Break from All Your Worries,7.5,763,
3.14 ,The Woman King,6.6,801,
3.15 ,A Day in the Life,6.7,771,
3.16 ,Dirty Hands,7.2,768,
3.17 ,Maelstrom,7.7,918,
3.18 ,The Son Also Rises,7.4,781,
3.19 ,Crossroads: Part 1,8.1,830,
3.20 ,Crossroads: Part 2,8.9,1,453,
4.1 ,He That Believeth in Me,8.4,918,
4.2 ,Six of One,8.0,697,
4.3 ,The Ties That Bind,7.9,691,
4.4 ,Escape Velocity,7.5,658,
4.5 ,The Road Less Traveled,7.5,631,
4.6 ,Faith,8.1,681,
4.7 ,Guess What's Coming to Dinner,8.6,754,
4.8 ,Sine Qua Non,7.7,653,
4.9 ,The Hub,8.6,714,
4.10 ,Revelations,8.9,984,
4.11 ,Sometimes a Great Notion,8.7,867,
4.12 ,A Disquiet Follows My Soul,7.8,683,
4.13 ,The Oath,8.9,934,
4.14 ,Blood on the Scales,8.9,992,
4.15 ,No Exit,8.4,762,
4.16 ,Deadlock,7.4,655,
4.17 ,Someone to Watch Over Me,8.2,791,
4.18 ,Islanded in a Stream of Stars,7.8,636,
4.19 ,Daybreak: Part 1,8.3,849,
4.20 ,Daybreak: Part 2 & 3,8.8,1,718,
